"","ID_no_Rep_dup","LogPopBio","Time","I(Time^2)",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"818","146_1",1.12707364844137,23.2475753356774,540.449758987996,1.50477144204448,-0.37769779360311,0.0241077257247784,0.57973783486549,0.00359515938726791,-0.660758138400678
"819","146_1",1.25686103310758,23.2640937300894,541.218057082385,1.50571769407426,-0.248856660966685,0.0240970037056465,0.580222960798136,0.00156000163095691,-0.435356423871153
"820","146_1",0.997026689005828,23.9310239044765,572.693905116626,1.54386534984488,-0.546838660839051,0.0236687353392027,0.578797742705253,0.00739223651129457,-0.956444173297336
"821","146_1",1.38638884300446,23.9805790877127,575.068173382044,1.54669538953554,-0.160306546531075,0.023637272871096,0.580440631697173,0.000634386997664526,-0.28037847898899
"822","146_1",1.28775043065814,27.4680251079595,754.492403331494,1.74430960597185,-0.45655917531371,0.0215448358840897,0.579345450968983,0.0046701652969829,-0.797674342964885
"823","146_1",1.3850909691578,27.4804139037686,755.173148322439,1.74500616254392,-0.359915193386124,0.0215378214936329,0.579818732180692,0.00290128784771072,-0.628821195293825
"824","146_1",1.05932463364561,30.9389527337943,957.218796263958,1.93795327035805,-0.878628636712439,0.0196906991422825,0.575962907365448,0.0157478898924244,-1.53363780438691
"825","146_1",1.44868678764424,30.9885079170305,960.287622923862,1.94069604321323,-0.492009255568994,0.0196658060404378,0.579146429259013,0.00493158776214152,-0.858786502897748
"826","146_1",1.74070840314322,31.0256743044576,962.59246604628,1.94275271788919,-0.202044314745973,0.0196471647273412,0.58035085197663,0.000830816491168409,-0.352658570654075
"827","146_1",2.81145432663945,31.1619510583572,971.067193763449,1.95029088862126,0.861163438018191,0.0195790220445795,0.576146435396622,0.0150388193380958,1.50306685619865
"828","146_1",1.70800198220733,31.7215116690658,1006.25430257068,1.9811941535039,-0.273192171296571,0.0193026474700294,0.580148834039884,0.00149128326566232,-0.476759945540386
"829","146_1",2.74630105953701,31.8536588243623,1014.65558049887,1.98848085678667,0.757820202750342,0.0192381776046502,0.577154224829221,0.011435257676041,1.32246265258938
"830","146_1",1.44661018948958,36.5882436227199,1338.6995713955,2.24665469803688,-0.800044508547296,0.0171228792237833,0.576767106444026,0.0112949265338641,-1.39464459735286
"831","146_1",2.29022818981995,36.6956131863983,1346.56802712577,2.25244417134999,0.037784018469956,0.017079155680174,0.580586338327823,2.51259428899954e-05,0.0658639670918516
"832","146_1",1.57613799938646,37.3047289803431,1391.64280429685,2.28523346508788,-0.70909546570142,0.0168345439947193,0.577590935118263,0.0087183504631537,-1.2359201584936
"833","146_1",1.80326592255233,37.3336361705642,1393.80038971606,2.28678724986141,-0.483521327309081,0.0168230797445195,0.57920008232219,0.00405088761409445,-0.842750095413764
"834","146_1",2.9695353611629,42.382070462751,1796.23989670959,2.55492408615384,0.414611275009062,0.0150139362896095,0.579571520149399,0.00264845979670261,0.721979852479659
