"","ID_no_Rep_dup","LogPopBio","Time","(weights)",".fitted",".resid"
"2690","48_1",0.462019496669681,16.837338870849,1,0.346576722258668,0.115442774411013
"2691","48_1",0.40983129578544,27.8331416239987,1,0.371343073670638,0.0384882221148022
"2692","48_1",0.593327242744727,74.7746142909978,1,0.81748981356676,-0.224162570822033
"2693","48_1",1.32326435190369,100.22682777037,1,1.40319989996161,-0.0799355480579171
"2694","48_1",2.593502834923,126.293020083674,1,2.22194201551016,0.371560819412842
"2695","48_1",3.16296820339512,154.577908637778,1,3.22126432917741,-0.0582961257822849
"2696","48_1",3.96658277262595,180.113846503595,1,4.09646835093408,-0.129885578308125
"2697","48_1",4.75777822453405,206.138176623676,1,4.88156182895109,-0.123783604417042
"2698","48_1",5.6233488397344,229.734499536844,1,5.47258163604331,0.150767203691092
"2699","48_1",5.83698556581399,256.610027585786,1,6.00512197514423,-0.168136409330238
"2700","48_1",6.69013706369162,280.694742753218,1,6.36943690758666,0.320700156104956
"2701","48_1",6.44956899330545,306.551624100408,1,6.66310618277781,-0.213537189472361
"2702","48_1",6.93335640631522,333.734141566316,1,6.88692070435707,0.0464357019581536
"2703","49_1",1.00954853074727,23.1958762886598,1,0.984570200275082,0.0249783304721878
"2704","49_1",1.00954853074727,46.3917525773196,1,0.984570219920972,0.0249783108262983
"2705","49_1",1.00954853074727,74.2268041237113,1,0.984571262169344,0.0249772685779264
"2706","49_1",1.00954853074727,98.9690721649485,1,0.984588458802243,0.024960071945027
"2707","49_1",1.00954853074727,125.257731958763,1,0.984781994708978,0.0247665360382916
"2708","49_1",1.01909706149454,150,1,0.985944450114065,0.0331526113804747
"2709","49_1",1.00954853074727,173.19587628866,1,0.990367211483875,0.0191813192633948
"2710","49_1",1.00954853074727,242.783505154639,1,1.0993115265328,-0.0897629957855302
"2711","49_1",1.00954853074727,269.072164948454,1,1.22791026628592,-0.21836173553865
"2712","49_1",1.2673588609236,289.175257731959,1,1.37576146752952,-0.108402606605922
"2713","49_1",1.71613980604536,313.917525773196,1,1.62072907194805,0.0954107340973067
"2714","49_1",2.13627515892531,337.113402061856,1,1.90951298933936,0.226762169585951
"2715","49_1",3.31074444083971,432.989690721649,1,3.42874285516522,-0.117998414325506
"2716","49_1",3.7499768552142,454.639175257732,1,3.77396836458862,-0.0239915093744227
"2717","49_1",4.38017988453412,479.381443298969,1,4.14486446350415,0.235315421029971
"2718","49_1",4.25604898481959,505.670103092784,1,4.50379751009189,-0.247748525272297
"2719","49_1",5.49735798196489,595.360824742268,1,5.42557496917146,0.0717830127934329
"2720","5_1",-2.59142770517565,8.31408775981527,1,-2.59139449796202,-3.32072136259853e-05
"2721","5_1",-2.23205990880017,23.0946882217088,1,-2.23218483089928,0.000124922099111302
"2722","5_1",-1.61639043174898,47.1131639722863,1,-1.61138797268811,-0.00500245906087393
"2723","5_1",-1.44133031765035,72.055427251732,1,-1.59372647810417,0.152396160453822
"2724","5_1",-1.39474878291968,95.1501154734411,1,-1.59345708715988,0.1987083042402
"2725","5_1",-1.40285568821824,120.092378752887,1,-1.5934514711025,0.190595782884258
"2726","5_1",-1.44458913562921,143.187066974596,1,-1.59345138621242,0.148862250583208
"2727","5_1",-1.58714777791916,168.129330254042,1,-1.59345138444294,0.00630360652377848
"2728","5_1",-1.61036212691763,192.147806004619,1,-1.59345138441611,-0.0169107425015196
"2729","5_1",-1.60716182877432,216.166281755197,1,-1.59345138441563,-0.0137104443586855
"2730","5_1",-1.658472910268,240.184757505774,1,-1.59345138441563,-0.0650215258523741
"2731","5_1",-1.54926804237363,264.203233256351,1,-1.59345138441563,0.0441833420419957
"2732","5_1",-1.53381783214029,288.221709006928,1,-1.59345138441563,0.0596335522753357
"2733","5_1",-1.58141245704052,312.240184757506,1,-1.59345138441563,0.0120389273751058
"2734","5_1",-1.56557942418566,335.334872979215,1,-1.59345138441563,0.0278719602299657
"2735","5_1",-1.58817218295,360.27713625866,1,-1.59345138441563,0.00527920146562577
"2736","5_1",-1.68054453066222,384.295612009238,1,-1.59345138441563,-0.0870931462465943
